id;type;criterion_type;name;description;tender_category;active_yn
1;back-end customized Multi-layered;orchestrate override;Borders mint;Representative Wooden Profit-focused;Forks Home whiteboard;true
2;Falkland Front-line;Integrated GB invoice;virtual parsing;Stravenue and;open-source;false
3;multi-tasking;holistic;Supervisor engage Gateway;neural Borders Horizontal;transmit;false
4;black;Pennsylvania radical Infrastructure;Dakota Plastic olive;Enterprise-wide haptic XSS;Specialist;true
5;Table;customized;Loan;calculating Tuna Streamlined;salmon bypassing Fish;false
6;Texas Investment Web;Bedfordshire Rubber;copy microchip;software deposit Division;Singapore;false
7;withdrawal Steel Customer;policy;bluetooth;bus Bedfordshire;deposit;false
8;Station Coordinator Cordoba;Gloves;compressing Savings;Nepal iterate Consultant;withdrawal;true
9;Rubber copying;synthesize payment;Corporate;grey Salvador;withdrawal Plastic;true
10;Licensed deposit;overriding Administrator;networks;ivory;actuating Mouse best-of-breed;false
