id;document_name;tender_category;active_yn
1;Handcrafted Down-sized reboot;pixel Cook Kwacha;false
2;Tasty composite;quantifying back Coordinator;false
3;Ergonomic;driver Fresh complexity;false
4;Chair;application;true
5;Product;structure Metal Enterprise-wide;true
6;Garden Kroon;Rubber Belize content;true
7;invoice 5th Central;red sensor Mouse;false
8;connect directional;Designer Avon Loan;true
9;24/365 Vermont Connecticut;deposit synergistic Concrete;false
10;Loan;application demand-driven Licensed;true
