id;evaluation_type;prequal_validity_period;inviting_strategy;min_no_bids_receive;procuring_entity;procuring_entity_designation;procuring_entity_address;inviting_authority;inviting_authority_designation;inviting_authority_address;participating_condn_yn;tender_fee;emd;bid_value_type;tech_weightage;prequal_tender_bid_open;tender_doc_close;tender_receipt_close;tender_query_close;technical_bid_open;financial_bid_open;published_date;published_by;recalled_date;recalled_by;bid_submission_start_date;bid_validity_period;no_of_calls;pre_bid_meeting_date;pre_bid_meeting_yn;prebid_meeting_address;pre_qualification_bid_open;mandate_all_items_yn;queries_published;denomination_type;retendered_yn;percentage_rate_type;contact_person;split_emd_required_yn;emd_bank_guarantee;emd_cash;bg_validity_period;hide_weightage;itemwise_tech_eval_yn;is_multiple_supplier_selection_allowed;tech_eval_start_date;tech_eval_end_date;comm_eval_start_date;comm_eval_end_date;emd_verified_date;multiple_currency_selection_allowed_yn;is_editable;is_evaluated;is_tech_weightage_allowed;is_tech_weightage_completed;is_commercial_bid_edit_completed;template_yn;template_id;payment_verified_by;payment_verified_date;is_itemwise_csr_required;is_bid_view_enabled;is_negotiation_required;highest_bidder_selection;is_variable_emd_allowed;nit_publisher_cert_id;auto_extend_yn;no_of_days_extend;is_extension_available;special_scheme_tender;is_bid_validity_expiry_task_created;evaluation_type_flag;qcbs_tender_yn;published_user;is_world_bank_funded;ec_clearance_number;ec_clearance_date
1;15176;2021-07-12;true;98868;64547;97306;64291;82952;94687;43492;true;36026;95872;false;34128;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;77342;2021-07-13;15726;2021-07-12;71829;31941;2021-07-12;true;63225;2021-07-12;true;true;Dinar Manor Chair;true;Principal Islands;Grass-roots Corporate Garden;true;82356;1238;37341;false;true;false;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;false;false;true;true;false;true;false;9753;17667;2021-07-12;true;false;true;true;true;12403;false;34662;true;true;false;true;false;Car Sleek;false;mobile;2021-07-13
2;76465;2021-07-12;false;39970;66653;78529;81850;62026;47206;29816;true;2475;4933;true;86718;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;52875;2021-07-12;84543;2021-07-12;29928;11001;2021-07-12;false;59586;2021-07-12;true;false;Adaptive;false;Sleek solutions Home;salmon;false;67342;86227;35449;true;false;true;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-12;true;true;true;true;false;false;true;48740;36359;2021-07-13;true;true;true;false;false;20837;false;38170;false;false;false;true;false;Home Island e-markets;false;haptic withdrawal;2021-07-12
3;66883;2021-07-12;false;91817;90538;28448;36540;9128;42524;4868;true;27323;42414;true;31172;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;37019;2021-07-12;23824;2021-07-12;96207;12037;2021-07-12;false;42540;2021-07-12;true;true;Kip;false;Loan;Chicken;true;3287;77939;82221;true;false;false;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-12;true;true;false;false;false;false;true;2076;53297;2021-07-13;false;false;false;false;true;81892;false;26181;true;false;true;true;true;Futuna;false;Minnesota Metal;2021-07-13
4;88967;2021-07-13;false;23458;62527;23110;93919;5605;35966;33024;true;59489;17316;true;83212;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-13;2021-07-12;7321;2021-07-12;21786;2021-07-12;23422;78060;2021-07-12;false;13381;2021-07-13;false;false;Rhode interactive Operations;true;Dinar Fish;mindshare withdrawal Dollar;true;20118;40276;78995;false;true;true;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;true;false;true;true;true;true;false;1038;72258;2021-07-12;true;true;false;true;false;86132;false;25740;false;false;true;false;true;card Buckinghamshire calculating;false;Proactive;2021-07-13
5;95785;2021-07-12;false;23591;76822;37542;47851;51892;80864;54328;true;79235;32910;true;1608;2021-07-12;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-12;55544;2021-07-12;1551;2021-07-12;56681;59983;2021-07-13;false;23434;2021-07-12;false;false;Refined magnetic;true;Concrete;Soap;false;10742;56342;26134;true;true;true;2021-07-12;2021-07-12;2021-07-12;2021-07-12;2021-07-13;true;true;true;false;true;true;false;34947;3828;2021-07-12;false;false;false;false;true;3740;true;26596;true;false;true;false;false;program interface 24/7;true;Dynamic Islands;2021-07-12
6;11176;2021-07-12;false;11863;90708;11549;92320;97120;51266;8196;true;28150;32033;false;79119;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-12;3570;2021-07-13;17854;2021-07-12;1334;32585;2021-07-12;true;99598;2021-07-13;false;true;architect;true;e-business Intranet Re-contextualized;Rubber Plastic synergies;true;82824;25026;11204;true;true;true;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-13;false;true;true;true;true;false;false;2519;85519;2021-07-12;true;false;true;true;false;76734;true;27372;true;true;true;false;false;navigate Iowa;true;Granite Awesome Saint;2021-07-13
7;16655;2021-07-12;false;16127;32591;9567;14459;96840;67158;42856;true;1321;12346;false;95671;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12;81855;2021-07-12;97824;2021-07-12;56603;85697;2021-07-13;true;16195;2021-07-12;true;true;De-engineered;false;Granite Metal Salad;Cayman;true;58630;6681;86085;true;true;false;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-12;true;true;true;true;false;true;true;67202;26821;2021-07-12;false;false;true;false;false;81019;false;88289;true;true;false;false;false;deposit Upgradable;true;Cotton multi-tasking;2021-07-13
8;80061;2021-07-12;false;75279;47800;28192;92644;92179;75807;60026;true;84881;79188;false;23820;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-13;33580;2021-07-12;80559;2021-07-12;69384;95587;2021-07-12;true;88580;2021-07-12;false;false;Loan;true;deposit synthesize;group challenge Comoros;false;36613;56956;67492;true;false;true;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;false;true;false;false;true;false;false;57589;99638;2021-07-13;true;false;false;true;false;2883;false;62515;true;false;true;true;true;hybrid;true;Granite Chicken;2021-07-12
9;57491;2021-07-12;false;28904;38681;34160;50489;24205;85438;23037;false;29185;56701;false;39478;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-12;83196;2021-07-12;25606;2021-07-13;42746;8094;2021-07-12;false;26337;2021-07-13;true;false;blue;false;Robust Towels;Egyptian distributed;false;87475;59932;57844;true;true;false;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-12;false;false;true;false;true;false;false;21128;55522;2021-07-13;false;true;false;true;false;63695;true;22471;true;false;false;true;true;hacking;true;magenta back-end;2021-07-12
10;68556;2021-07-13;true;13208;21795;26725;7249;98604;54945;21132;true;4184;84432;true;55777;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-13;91688;2021-07-12;70523;2021-07-12;63318;47053;2021-07-12;true;37029;2021-07-12;false;false;Madagascar Customer;true;integrate invoice;Grass-roots;false;6000;45142;46342;true;true;true;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-13;false;true;false;true;true;false;false;32949;55384;2021-07-12;true;true;false;true;false;75215;false;89890;false;false;true;false;false;calculate;false;copying Route Concrete;2021-07-13
