id;name;prefix;next_series
1;Extended Division;Tunnel bypassing;Health Hampshire quantify
2;attitude attitude;encompassing Loan;neural Awesome
3;Infrastructure product;Parkways Light Generic;deposit Streets Dram
4;Michigan Account Chief;Buckinghamshire Loan;Dakota
5;deposit;compressing blue;neural national
6;Intelligent;quantifying Branding;Concrete wireless
7;Frozen seamless Nebraska;Bacon plum Incredible;database unleash
8;distributed;success Afghani Bike;expedite
9;Virginia Account;Paradigm Tunisian;application
10;Assurance Unions Borders;application Configuration;Fantastic HTTP connecting
