id;country_code;area_code;number;type;mob_otp;mob_otpts;mob_otp_expired
1;53719;77599;Forges redundant Shoes;bottom-line;Liaison Solutions;2021-07-12;true
2;5204;22234;Beauty neural Chicken;Connecticut;Iowa;2021-07-12;true
3;75305;12660;generate magenta;Jamaica Salad Analyst;Rubber Jamaica;2021-07-12;true
4;39594;23114;strategic extensible AI;Rial Forward;payment Operations Digitized;2021-07-12;false
5;34136;9920;Rustic vortals;withdrawal Steel Ameliorated;Forward;2021-07-12;false
6;66113;95453;Factors lavender;Cambridgeshire user-centric JSON;Corner;2021-07-13;true
7;22463;77704;synergize Chicken e-tailers;Bedfordshire Tools;Metal Markets deposit;2021-07-12;true
8;88706;71789;Customizable Mississippi XSS;generation;grey;2021-07-12;true
9;56134;25677;Cambridgeshire;relationships Mouse;compressing Re-engineered;2021-07-12;true
10;58485;99340;Intelligent;bypassing Missouri;withdrawal alliance;2021-07-12;false
