id;nit_id;reason;history_order;tender_doc_close_date_original;tender_doc_close_date_revised;tender_receipt_close_date_original;tender_receipt_close_date_revised;tender_query_close_date_original;tender_query_close_date_revised;technical_bid_open_date_original;technical_bid_open_date_revised;financial_bid_open_date_original;financial_bid_open_date_revised;prequal_bid_open_date_original;prequal_bid_open_date_revised;status;prequal_tende_bid_open_original;prequal_tender_bid_open_revised;pre_bid_meeting_date_original;pre_bid_meeting_date_revised;prebid_meeting_address_original;prebid_meeting_address_revised;prequal_validity_period_original;prequal_validity_period_revised
1;99131;Tactics Account;76759;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;Bypass generating Implementation;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12
2;8225;multi-byte payment;87798;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;moderator functionalities Granite;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12
3;69965;reciprocal;12911;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-13;2021-07-13;Plastic;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-12
4;10368;Ameliorated;11556;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-12;2021-07-12;e-commerce Accounts;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-12
5;27705;override Florida;73151;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-13;Walks user-centric;2021-07-13;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-13
6;71880;withdrawal Leone;704;2021-07-12;2021-07-12;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-13;Lights;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-13
7;20855;circuit Arkansas;77065;2021-07-13;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-12;Home;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-13
8;9106;toolset;96064;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-13;Account Cambridgeshire Rubber;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-13
9;2915;engineer infomediaries;37186;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;Implemented archive Operations;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-13;2021-07-12
10;80800;Tennessee;2169;2021-07-12;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-13;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-12;24/7;2021-07-12;2021-07-12;2021-07-13;2021-07-12;2021-07-12;2021-07-12;2021-07-13;2021-07-13
