id;nit_id;indent_item_id;tender_criterion_id;name;description;min_value;max_value;operator;data_type;optional_yn
1;6257;14117;9273;e-business Fresh;Developer;44116;60946;Architect Bulgaria;Practical Alley;true
2;64538;5203;21458;Platinum;ubiquitous Account;7715;12698;salmon hack;green feed;true
3;35783;485;89643;deposit Legacy;evolve Unbranded Cambridgeshire;65645;9838;compress;alarm niches Investment;true
4;18459;39279;98661;Quality Branding asymmetric;Tasty;232;55912;Bike deposit;invoice green;true
5;36645;43559;7404;online Direct (the;Pants intranet payment;9279;29854;Licensed;overriding Savings Implemented;true
6;11209;48928;82726;Balanced;Card Personal Fully-configurable;93798;27385;bypassing Manager;haptic Avon Points;true
7;9497;35858;80893;ADP;programming;82465;47476;Solutions RAM withdrawal;systems Bedfordshire;false
8;10336;24410;44375;Peso Response;Assistant Beauty;21447;14985;Executive Global;deploy;false
9;72925;31836;74881;Multi-lateral;Extended interfaces;19507;22714;Industrial;Books enterprise Small;false
10;10931;65254;67196;Parkway;Stand-alone Baby Enterprise-wide;20118;73308;parse Quality Tasty;optical Technician;true
