id;nit_id;indent_id;category_item_id;entry_order;item_code;item_name;net_amt;price;quantity;specifications;uom_id;uom_name
1;98472;23648;94059;56598;structure;actuating Trail;19584;86966;653;intuitive;87855;up neural Account
2;36039;28496;11392;22664;Pound;Agent Lodge Borders;38232;92936;33431;approach Handmade Product;72402;Small Principal
3;61804;59635;43514;22155;Granite Fresh Ukraine;Account;16034;52398;93336;Intelligent Norwegian optimizing;25141;Berkshire Rubber Nigeria
4;81769;68933;80016;14141;utilize Identity Shirt;Buckinghamshire;27382;33763;81122;Pants Down-sized navigating;94627;web-readiness
5;44152;98425;41061;34134;tangible hacking Kentucky;Re-engineered navigate Metal;48718;84999;17626;invoice Island;56909;Multi-channelled Borders
6;70251;61457;90177;79734;haptic Account;Guiana;79487;6431;82283;B2C Multi-layered;39297;Dobra withdrawal Frozen
7;69294;77477;43504;74183;Arizona tan;Representative;47213;36008;98615;systematic Krona;26770;Computers
8;80999;26924;98505;40955;infrastructures reciprocal Chips;mission-critical navigating Colorado;79189;76958;62095;Awesome Car;98575;dot-com Industrial
9;92264;14144;57517;55784;Massachusetts data-warehouse deposit;Avon wireless initiatives;20000;39844;54874;bypass Associate Avon;54089;pink
10;80440;88543;17776;94811;Soap;Colorado;50532;47437;63580;state;71315;Forward
