id;nit_id;supplier_general_info_id;tender_query_text;tender_query_reponse_id;queries_published
1;84202;65305;EXE Visionary quantifying;80856;true
2;74213;61388;initiatives productivity circuit;97522;true
3;11830;39725;e-commerce bluetooth Investment;80637;false
4;81057;97094;Borders program;82640;false
5;30271;96800;Connecticut USB;82534;true
6;26716;89377;Forward Shoes Generic;29059;false
7;48286;50225;Account Reunion;56597;false
8;90635;37492;virtual Fuerte;35827;false
9;86429;42458;Jewelery;40946;true
10;21018;78739;Pound Avon;27365;true
