id;nit_id;tender_number;title;description;category;ecv;indent_id;dept_id;status;remarks;parent_tender_ref;no_of_calls;process_id;csr_value;ecvtendery_yn;certificate_id;payments_verified;dts_approval_date;mandatory_clause;location;delegate_to;is_approved_by_self;cat_work_category_name;negotiation_status;manual_tender_yn;district_id;draft_publish_status;csr_remarks;proc_entity_type;dts_approved_by
1;58941;Designer optimize synthesize;bandwidth-monitored Chips Implementation;Avon bus pixel;17104;83442;81584;65991;up Sudan content;Liaison;74555;41312;34022;66859;false;84942;30828;2021-07-13;Synergistic;7037;63851;83335;withdrawal;grey Rubber;false;36119;Uruguayo;RSS;70418;Fantastic quantify Concrete
2;38457;Serbian paradigms;hack info-mediaries;Avon;89047;38273;71127;15409;web-readiness Fork;Small;80943;43848;46295;43142;true;42593;61369;2021-07-12;cross-platform Via Multi-layered;47897;68446;92768;architect Steel;Infrastructure SSL Saint;false;21230;value-added syndicate methodologies;initiative Buckinghamshire;55805;copy
3;64566;Track Steel Concrete;toolset input;Streamlined Grove Customer;73696;88412;23221;20994;Solutions Licensed;Lead;3193;75807;24772;23516;false;46455;49566;2021-07-13;Rubber Ball;90877;10352;78508;navigating Fish;Dynamic streamline Optimi;false;9794;wireless Awesome deposit;innovative Automotive;25855;compressing regional Research
4;11875;Brazilian Berkshire;reboot;Expanded Buckinghamshire intuitive;27087;13493;13390;20420;ADP initiative deliverabl;Refined;88788;50178;32976;50961;false;54670;9056;2021-07-12;Bedfordshire;3329;24485;63382;Pa'anga Guernsey;bi-directional Stravenue;false;35341;Strategist haptic;Public-key architecture;85533;Small analyzing
5;18979;navigate;Cheese Handmade;Administrator state;88620;38588;54780;50159;Brazilian generating Gras;District value-added impactful;31843;29472;69461;31040;true;64861;31282;2021-07-13;Tuna;887;29337;8555;Card;quantifying HTTP;false;62277;cyan Hat;multi-byte;35635;Jewelery Unbranded Synergized
6;75304;Function-based Cheese;Wooden Computers;platforms;93378;24726;76188;40744;virtual;compress robust;91045;13007;71099;10639;true;88812;10055;2021-07-13;Palau Planner;21399;94433;98644;Compatible sticky Way;optical online teal;true;53703;cross-platform;4th;91862;Rustic grow
7;40494;multi-state Investment FTP;wireless Developer;HTTP;33479;3436;57686;38465;Granite;Money functionalities calculating;72880;28469;74679;18402;true;11718;32231;2021-07-13;Zimbabwe;29871;34628;38789;Home;gold Awesome microchip;true;4388;Virginia;real-time salmon strategize;29556;Drive Tennessee
8;89697;maroon;Hat Ergonomic reboot;solid;63182;20137;27669;81538;Michigan initiatives;Wooden capacitor;69835;3385;8705;3015;true;87616;92729;2021-07-12;Valley Security;99158;12363;23203;Consultant connect Developer;Pizza Arizona;false;34053;Personal;Extended;54699;Unbranded
9;32856;Account plum;Clothing copying exuding;paradigms Futuna strategize;82235;50107;7671;72888;Reverse-engineered leadin;Chief Dominican generation;13458;4944;1726;57285;true;83481;71496;2021-07-12;Analyst Architect responsive;8601;60118;30602;Cotton;Borders;false;52677;Refined;Market transform Cambridgeshire;36672;harness Architect
10;48041;action-items;deposit Gorgeous;ability Handcrafted;32388;27776;22111;52734;Architect;ivory Investment;27447;52283;71901;62849;false;20205;22641;2021-07-13;Senior toolset concept;38471;93836;70649;alarm focus Mandatory;Metal protocol;false;84782;bi-directional Dollar customer;connecting;63330;e-services Clothing
