id;nit_id;address_id;name;designation;date
1;74547;44047;Ergonomic;Rupee;2021-07-12
2;86131;92842;quantifying mesh;maroon;2021-07-12
3;86099;5250;Automotive monitor deposit;program;2021-07-12
4;35764;88778;brand Borders;Handcrafted;2021-07-13
5;48713;76388;Granite;deliverables zero;2021-07-12
6;46393;86697;deposit Grocery;Buckinghamshire;2021-07-12
7;83846;8824;Norwegian;interface;2021-07-12
8;54723;1844;Outdoors connect cohesive;Frozen RAM Lira;2021-07-12
9;1703;75662;tan Borders Games;Shoes;2021-07-12
10;2302;4249;utilize;Awesome;2021-07-13
