id;block_number;street;city;pin
1;Chief Shoes Dynamic;Deanna Mill;South Lydia;lime
2;Walk Mayen;Price Trail;South Eddietown;integrate Legacy
3;IB;River Prairie;Albertaland;Shoes synthesizing transparent
4;Home Associate;Terrence Glen;Garrettland;group Granite
5;Implemented;Hills Mission;Davisberg;magenta extensible
6;Kansas;Balistreri Extension;New Clifton;motivating
7;Buckinghamshire XSS RSS;Fahey Isle;Ofeliaview;Soap
8;Dynamic Fresh;Crooks Spur;Darrelmouth;real-time bypass
9;cross-platform Orchard Mouse;Alva Knoll;Port Garretmouth;calculating
10;Music;Prohaska Villages;Longview;multi-byte Home Zambia
